[2025-11-09 11:00:19,112: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\params.yaml loaded successfully]
[2025-11-09 11:00:19,112: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\schema.yaml loaded successfully]
[2025-11-09 11:00:19,115: INFO: common: created directory at: artifacts]
[2025-11-09 11:00:19,115: INFO: common: created directory at: artifacts/data_validation]
[2025-11-09 11:00:19,274: INFO: main: >>>>>> stage <<<<<<<Data Validation stage>>>>>>>>> completed <<<<<<

x==========x]
[2025-11-09 11:00:19,276: INFO: main: >>>>>> stage <<<<<<<Data Transformation stage>>>>>>>>> started <<<<<<]
[2025-11-09 11:00:19,277: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\config\config.yaml loaded successfully]
[2025-11-09 11:00:19,277: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\params.yaml loaded successfully]
[2025-11-09 11:00:19,277: INFO: common: yaml file: D:\Cdac_ML\Assignments\Assignment_4\schema.yaml loaded successfully]
[2025-11-09 11:00:19,280: INFO: common: created directory at: artifacts]
[2025-11-09 11:00:19,280: INFO: common: created directory at: artifacts/data_transformation]
[2025-11-09 11:00:19,888: INFO: Data_transformation: Splited data into training and test sets]
[2025-11-09 11:00:19,888: INFO: Data_transformation: (97410, 24)]
[2025-11-09 11:00:19,888: INFO: Data_transformation: (32470, 24)]
[2025-11-09 11:00:19,891: INFO: main: >>>>>> stage <<<<<<<Data Transformation stage>>>>>>>>> completed <<<<<<

x==========x]
